,Comuna,causa,n_def,Nombre Comuna,Poblacion 2017,tasa_def,prop_rural,etnia,ingreso,tasa_denuncias,region,rm,tiempo_hospital
2,1401,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Pozo Almonte,15286.0,39.25160277377993,34.89467486589036,46.480097340517986,296573.0940378933,1354.4018058690745,1.0,0.0,64.86
3,1402,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",1.0,Camiña,1286.0,77.76049766718506,100.0,85.45673076923077,278387.98798076925,849.5145631067961,1.0,0.0,291.5
4,1404,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Huara,2748.0,145.5604075691412,59.75254730713247,45.61353211009174,286434.7758027523,1399.155227032735,1.0,0.0,175.51
5,1405,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Pica,5320.0,75.18796992481204,32.31203007518797,55.034541786391145,404464.29436938313,657.7948692000202,1.0,0.0,122.63
7,2102,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Mejillones,12933.0,46.39294827186268,4.538776772597232,4.9842914154708335,318447.864566528,1220.1989862962268,2.0,0.0,9.63
8,2104,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,Taltal,12831.0,38.96812407450705,10.310965630114566,1.1150301513255205,322686.5883490727,2775.8362456315526,2.0,0.0,22.05
10,2203,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",5.0,San Pedro de Atacama,9177.0,54.48403617740002,44.49166394246486,54.559798043546856,394896.40138845064,1724.5567160553803,2.0,0.0,98.5
11,2301,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",9.0,Tocopilla,26886.0,33.47467083240348,3.964888789704679,2.8651924303635976,306291.31543695513,3695.9088342487553,2.0,0.0,4.92
12,2302,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",1.0,María Elena,6651.0,15.035333032626674,8.194256502781537,14.075723830734965,288820.7545657016,1394.422310756972,2.0,0.0,3.66
14,3102,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",7.0,Caldera,18582.0,37.670864277257564,9.740609191690885,12.440575828590559,284673.79665215936,4417.1075275670855,3.0,0.0,82.05
15,3103,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",6.0,Tierra Amarilla,13941.0,43.03851947493006,23.64966645147407,33.674278464954014,307473.4175388519,2409.638554216868,3.0,0.0,59.55
16,3201,"Traumatismos, envenenamientos y algunas otras consecuencias de causas externas",4.0,Chañaral,13058.0,30.632562413845914,10.238933986827998,5.408045466654826,268659.45049285144,2959.724207517027,3.0,0.0,10.58
